Player,Age,Team,Lg,WAR,PA,AB,R,HR,RBI,BB,SO,BA,HBP,IBB,K_Rate,BB_Rate,Salary,Team_Wins,Top_3_Round,College,All_Star
Anthony Santander#,29,BAL,AL,2.9,665,595,91,44,102,58,129,0.235,7,3,19.398,8.722,11.7,91,No,No,Yes
Gavin Sheets*,28,CHW,AL,-0.8,501,451,35,10,45,43,106,0.233,4,2,21.158,8.583,0.756,41,Yes,Yes,No
Alex Verdugo*,28,NYY,AL,0.7,621,559,74,13,61,49,93,0.233,1,0,14.976,7.890,8.7,94,Yes,No,No
Andrew McCutchen,37,PIT,NL,0.8,515,448,66,20,50,58,133,0.232,7,1,25.825,11.262,5,76,Yes,No,Yes
Maikel Garcia,24,KCR,AL,1.2,626,575,84,7,58,42,103,0.231,0,0,16.454,6.709,0.751,86,No,No,No
Corbin Carroll*,23,ARI,NL,3.4,684,589,121,22,74,73,130,0.231,10,0,19.006,10.673,3.625,89,Yes,No,Yes
Leody Taveras#,25,TEX,AL,0.5,529,480,59,12,44,42,112,0.229,0,0,21.172,7.940,2.55,78,No,No,No
Andrew Benintendi*,29,CHW,AL,-0.8,522,477,50,20,64,41,96,0.229,1,1,18.391,7.854,17.1,41,Yes,Yes,Yes
Spencer Steer,26,CIN,NL,1.5,656,574,74,20,92,72,137,0.225,8,1,20.884,10.976,0.75,77,Yes,Yes,No
Brandon Nimmo*,31,NYM,NL,2.3,663,571,88,23,90,77,158,0.224,12,1,23.831,11.614,20.5,89,Yes,No,No
Adolis García,31,TEX,AL,0.4,637,580,68,25,85,45,177,0.224,6,2,27.786,7.064,4.75,78,No,No,Yes
Shea Langeliers,26,OAK,AL,2.9,534,482,58,29,80,41,145,0.224,5,2,27.154,7.678,0.745,69,Yes,Yes,No
George Springer,34,TOR,AL,1.1,614,545,74,19,56,60,115,0.22,6,0,18.730,9.772,24.166,74,Yes,Yes,Yes
Cal Raleigh#,27,SEA,AL,4.6,628,546,73,34,100,70,176,0.22,6,4,28.025,11.146,0.795,85,Yes,Yes,No
Jake Meyers,28,HOU,AL,1.7,513,461,51,13,61,35,117,0.219,10,0,22.807,6.823,0.767,88,No,Yes,No
Orlando Arcia,29,ATL,NL,0.6,602,551,50,17,46,41,128,0.218,2,1,21.262,6.811,2,89,No,No,Yes
Rhys Hoskins,31,MIL,NL,-0.2,517,449,59,26,82,53,149,0.214,7,1,28.820,10.251,12,93,No,Yes,No
Daulton Varsho*,27,TOR,AL,5.1,513,459,73,18,58,48,137,0.214,4,1,26.706,9.357,5.65,74,Yes,Yes,No
Zack Gelof,24,OAK,AL,1.3,547,497,60,17,49,38,188,0.211,4,0,34.369,6.947,0.74,69,Yes,Yes,No
